,hour,is_taxi_related,weekend,TIME,weekday
0,0,No,False,154,True
1,0,No,True,41,False
2,0,Yes,False,22,True
3,0,Yes,True,13,False
4,1,No,False,140,True
5,1,No,True,33,False
6,1,Yes,False,24,True
7,1,Yes,True,5,False
8,2,No,False,105,True
9,2,No,True,27,False
10,2,Yes,False,23,True
11,2,Yes,True,4,False
12,3,No,False,74,True
13,3,No,True,25,False
14,3,Yes,False,19,True
15,3,Yes,True,5,False
16,4,No,False,107,True
17,4,No,True,22,False
18,4,Yes,False,11,True
19,4,Yes,True,4,False
20,5,No,False,105,True
21,5,No,True,29,False
22,5,Yes,False,12,True
23,5,Yes,True,5,False
24,6,No,False,178,True
25,6,No,True,19,False
26,6,Yes,False,19,True
27,6,Yes,True,1,False
28,7,No,False,273,True
29,7,No,True,78,False
30,7,Yes,False,23,True
31,7,Yes,True,7,False
32,8,No,False,547,True
33,8,No,True,128,False
34,8,Yes,False,42,True
35,8,Yes,True,10,False
36,9,No,False,509,True
37,9,No,True,69,False
38,9,Yes,False,34,True
39,9,Yes,True,4,False
40,10,No,False,441,True
41,10,No,True,81,False
42,10,Yes,False,53,True
43,10,Yes,True,3,False
44,11,No,False,495,True
45,11,No,True,66,False
46,11,Yes,False,46,True
47,11,Yes,True,6,False
48,12,No,False,470,True
49,12,No,True,66,False
50,12,Yes,False,43,True
51,12,Yes,True,4,False
52,13,No,False,500,True
53,13,No,True,61,False
54,13,Yes,False,42,True
55,13,Yes,True,5,False
56,14,No,False,526,True
57,14,No,True,74,False
58,14,Yes,False,44,True
59,14,Yes,True,4,False
60,15,No,False,504,True
61,15,No,True,76,False
62,15,Yes,False,33,True
63,15,Yes,True,5,False
64,16,No,False,512,True
65,16,No,True,82,False
66,16,Yes,False,43,True
67,16,Yes,True,5,False
68,17,No,False,519,True
69,17,No,True,58,False
70,17,Yes,False,50,True
71,17,Yes,True,5,False
72,18,No,False,483,True
73,18,No,True,68,False
74,18,Yes,False,36,True
75,18,Yes,True,4,False
76,19,No,False,413,True
77,19,No,True,55,False
78,19,Yes,False,38,True
79,19,Yes,True,6,False
80,20,No,False,324,True
81,20,No,True,51,False
82,20,Yes,False,37,True
83,20,Yes,True,5,False
84,21,No,False,273,True
85,21,No,True,46,False
86,21,Yes,False,35,True
87,21,Yes,True,7,False
88,22,No,False,240,True
89,22,No,True,46,False
90,22,Yes,False,34,True
91,22,Yes,True,6,False
92,23,No,False,178,True
93,23,No,True,23,False
94,23,Yes,False,26,True
95,23,Yes,True,2,False
