,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,hour,weekend,weekday
348393,40.761,-73.962,40.777,-73.954,9,False,True
494968,40.8,-73.968,40.786,-73.981,18,False,True
61348,40.72,-73.989,40.75,-73.972,2,True,False
307878,40.758,-73.983,40.765,-73.966,18,False,True
405090,40.77,-73.953,40.771,-73.963,9,False,True
286314,40.755,-73.974,40.729,-73.984,11,False,True
411089,40.773,-73.986,40.762,-73.957,16,False,True
189259,40.744,-73.989,40.747,-74.005,14,False,True
392742,40.77,-73.992,40.756,-73.969,10,False,True
89549,40.726,-73.986,40.759,-73.969,13,False,True
299521,40.758,-73.992,40.735,-73.984,12,True,False
86198,40.726,-73.992,40.747,-73.99,23,False,True
350455,40.761,-73.956,40.783,-73.96,15,True,False
467743,40.782,-73.953,40.783,-73.978,11,False,True
127007,40.735,-74.001,40.75,-74.008,14,False,True
110784,40.732,-74.004,40.777,-73.948,22,False,True
356671,40.764,-73.983,40.747,-73.978,21,False,True
383900,40.767,-73.962,40.762,-73.969,12,False,True
396010,40.77,-73.983,40.777,-73.954,23,False,True
15077,40.687,-73.971,40.726,-73.993,21,False,True
500974,40.809,-73.945,40.861,-73.924,19,False,True
267551,40.752,-73.965,40.777,-73.984,19,False,True
436743,40.776,-73.965,40.783,-73.981,12,False,True
448022,40.779,-73.983,40.792,-73.975,15,False,True
217352,40.746,-73.977,40.753,-73.972,10,False,True
549,40.639,-73.79,40.75,-73.981,15,False,True
502342,40.818,-73.956,40.786,-73.951,21,False,True
418247,40.773,-73.962,40.783,-73.975,12,False,True
291623,40.755,-73.968,40.741,-73.99,9,False,True
494785,40.8,-73.968,40.771,-73.948,7,False,True
73484,40.723,-73.989,40.738,-73.987,15,False,True
54180,40.72,-74.001,40.675,-73.984,0,False,True
42026,40.717,-74.013,40.756,-73.921,1,False,True
70115,40.723,-73.998,40.78,-73.951,19,False,True
30038,40.711,-74.013,40.72,-74.014,20,False,True
366618,40.764,-73.965,40.762,-73.96,10,False,True
62647,40.72,-73.986,40.747,-74.011,14,False,True
186592,40.744,-73.992,40.738,-74.011,19,False,True
201850,40.746,-74.004,40.714,-74.011,17,False,True
168131,40.741,-73.992,40.714,-74.014,8,False,True
225872,40.749,-73.995,40.75,-73.987,21,False,True
185298,40.744,-73.995,40.75,-74.005,9,False,True
384234,40.767,-73.962,40.774,-73.978,14,False,True
264341,40.752,-73.971,40.69,-74.002,21,False,True
351221,40.764,-73.998,40.738,-74.011,19,False,True
134881,40.735,-73.986,40.726,-74.005,15,False,True
320007,40.758,-73.962,40.69,-73.993,16,False,True
276940,40.755,-73.989,40.756,-73.972,19,False,True
457488,40.779,-73.95,40.768,-73.954,12,False,True
88450,40.726,-73.986,40.723,-74.002,19,False,True
268959,40.755,-74.001,40.741,-73.993,11,False,True
164027,40.741,-73.998,40.705,-74.011,18,False,True
321465,40.758,-73.959,40.765,-73.957,16,False,True
247634,40.749,-73.942,40.762,-73.933,11,False,True
251788,40.752,-73.992,40.75,-73.981,8,False,True
447067,40.779,-73.983,40.762,-73.966,17,True,False
92458,40.729,-74.007,40.726,-73.993,19,False,True
90392,40.726,-73.983,40.738,-73.978,10,False,True
490636,40.794,-73.95,40.78,-73.954,14,False,True
16562,40.693,-73.986,40.771,-73.912,16,False,True
262106,40.752,-73.974,40.699,-73.99,18,False,True
468439,40.782,-73.95,40.762,-73.984,9,False,True
306482,40.758,-73.986,40.786,-73.978,19,False,True
94687,40.729,-74.004,40.753,-74.005,6,False,True
332849,40.761,-73.98,40.735,-73.984,0,False,True
418628,40.773,-73.959,40.738,-73.984,8,False,True
466880,40.782,-73.953,40.741,-73.984,11,False,True
253206,40.752,-73.989,40.747,-73.996,16,False,True
41548,40.717,-74.016,40.762,-73.975,13,False,True
8954,40.645,-73.778,40.759,-73.999,20,False,True
405822,40.77,-73.95,40.738,-73.987,11,False,True
369275,40.764,-73.959,40.765,-73.966,6,False,True
4225,40.642,-73.784,40.753,-73.942,13,False,True
103148,40.729,-73.986,40.75,-73.891,23,False,True
48285,40.717,-73.989,40.648,-73.981,23,False,True
256425,40.752,-73.983,40.741,-73.999,19,False,True
123200,40.732,-73.956,40.711,-73.945,21,False,True
379069,40.767,-73.983,40.771,-73.99,20,False,True
303146,40.758,-73.989,40.774,-73.978,13,True,False
267385,40.752,-73.965,40.759,-73.984,23,False,True
110676,40.732,-74.004,40.768,-73.987,1,True,False
489950,40.794,-73.968,40.798,-73.966,13,False,True
38225,40.714,-74.004,40.705,-74.011,15,True,False
475065,40.785,-73.956,40.759,-73.993,18,False,True
7086,40.645,-73.79,40.753,-73.99,16,False,True
121276,40.732,-73.983,40.726,-73.99,16,False,True
334921,40.761,-73.98,40.78,-73.978,22,False,True
