,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,hour,weekend,weekday
34539,40.760999999999996,-73.967,40.724000000000004,-74.01,11,1,1
49355,40.76,-73.984,40.74800000000001,-73.979,20,1,1
11917,40.728,-73.982,40.746,-73.985,23,1,1
8810,40.76300000000001,-73.96,40.773,-73.98,23,1,1
59147,40.729,-73.97800000000002,40.725,-74.002,10,1,1
11625,40.771,-73.982,40.791,-73.943,16,1,1
2288,40.778,-73.952,40.76300000000001,-73.92699999999998,2,1,1
57923,40.72,-73.995,40.735,-73.999,23,1,1
32375,40.716,-74.013,40.756,-73.997,8,1,1
29838,40.765,-73.967,40.787,-73.98100000000002,15,1,1
29732,40.72,-74.01,40.787,-73.979,21,1,1
11312,40.76,-73.98100000000002,40.765,-73.984,13,1,1
45797,40.728,-74.0,40.741,-73.98100000000002,23,1,1
12550,40.738,-74.0,40.728,-73.999,18,1,1
21913,40.76,-73.961,40.84,-73.939,15,1,1
35954,40.721,-73.984,40.749,-73.991,8,1,1
57055,40.728,-73.993,40.702,-74.013,10,1,1
11391,40.747,-73.982,40.744,-73.97399999999998,19,1,1
31035,40.645,-73.782,40.76,-73.97399999999998,13,2,2
33843,40.765,-73.991,40.765,-73.98,17,1,1
12322,40.760999999999996,-73.99,40.75,-73.994,22,1,1
16452,40.782,-73.952,40.781,-73.949,4,1,1
7923,40.77,-73.957,40.735,-73.983,18,1,1
26875,40.757,-73.994,40.738,-73.988,15,1,1
52555,40.74800000000001,-74.00399999999998,40.760999999999996,-73.999,14,1,1
4883,40.743,-73.994,40.742,-73.985,14,1,1
31620,40.722,-74.0,40.744,-73.982,9,1,1
52206,40.74,-73.991,40.769,-73.961,8,1,1
29710,40.724000000000004,-73.993,40.783,-73.983,18,1,1
24783,40.641999999999996,-73.789,40.711,-73.987,23,1,1
48081,40.760999999999996,-73.984,40.757,-73.97800000000002,16,1,1
53645,40.744,-74.0,40.738,-73.984,10,1,1
47484,40.788000000000004,-73.967,40.76300000000001,-73.975,11,1,1
35049,40.756,-73.988,40.719,-73.997,13,1,1
27559,40.774,-73.87100000000002,40.661,-73.993,19,1,1
25236,40.756,-73.991,40.768,-73.956,14,1,1
49699,40.734,-73.987,40.749,-73.992,19,1,1
9848,40.762,-73.97,40.758,-73.988,19,1,1
32630,40.743,-73.98899999999998,40.738,-73.995,20,1,1
16120,40.756,-73.991,40.745,-73.987,10,1,1
50626,40.751999999999995,-73.995,40.644,-73.79,21,1,1
22210,40.772,-73.96300000000002,40.791,-73.953,16,1,1
131,40.762,-73.97800000000002,40.765,-73.999,11,1,1
1853,40.749,-73.984,40.728,-74.003,16,1,1
29728,40.758,-73.971,40.795,-73.976,11,1,1
28890,40.759,-73.98100000000002,40.764,-73.99600000000002,18,1,1
3438,40.769,-73.96600000000002,40.727,-73.985,0,1,1
8854,40.734,-73.97800000000002,40.742,-73.975,7,1,1
26124,40.764,-73.987,40.76300000000001,-73.959,4,1,1
20759,40.786,-73.971,40.732,-74.0,8,1,1
51471,40.745,-73.991,40.727,-74.0,11,1,1
53174,40.783,-73.95100000000002,40.771,-73.982,15,1,1
1322,40.723,-73.986,40.72,-73.987,13,2,2
37004,40.785,-73.956,40.766,-73.96600000000002,16,1,1
41131,40.778,-73.975,40.78,-73.947,17,1,1
21632,40.722,-73.999,40.739000000000004,-73.988,13,1,1
50541,40.751,-73.98899999999998,40.743,-73.973,6,1,1
59737,40.759,-73.992,40.751999999999995,-73.97800000000002,14,1,1
45686,40.72,-73.993,40.714,-73.98100000000002,9,1,1
5899,40.779,-73.982,40.77,-73.96,18,1,1
3377,40.76300000000001,-73.97399999999998,40.76,-73.984,19,1,1
34110,40.751999999999995,-73.977,40.74800000000001,-74.006,21,1,1
56405,40.745,-73.983,40.762,-73.957,8,1,1
10074,40.741,-73.992,40.751,-74.001,12,1,1
24651,40.728,-73.985,40.675,-73.964,20,1,1
44722,40.760999999999996,-73.995,40.758,-74.0,14,1,1
9382,40.774,-73.962,40.775999999999996,-73.976,17,1,1
45849,40.765,-73.964,40.794000000000004,-73.94,20,1,1
47064,40.757,-73.98899999999998,40.715,-73.998,16,1,1
25693,40.742,-73.987,40.749,-73.984,18,1,1
26451,40.74800000000001,-73.98899999999998,40.784,-73.949,20,1,1
2507,40.762,-73.979,40.753,-73.97800000000002,7,1,1
60350,40.647,-73.79,40.766999999999996,-73.867,19,1,1
